Configuration item,Key ID,Type,Scale,Unit,Default value,Description
CFG-MSGOUT-UBX_MON_MSGPP_UART2,0x20910198,U1,-,-,0,Output rate of the UBXMON MSGPP message on port UART2
CFG-MSGOUT-UBX_MON_MSGPP_USB,0x20910199,U1,-,-,0,Output rate of the UBXMON MSGPP message on port USB
CFG-MSGOUT-UBX_MON_RF_I2C,0x20910359,U1,-,-,0,Output rate of the UBXMONRF message on port I2C
CFG-MSGOUT-UBX_MON_RF_SPI,0x2091035d,U1,-,-,0,Output rate of the UBXMONRF message on port SPI
CFG-MSGOUT-UBX_MON_RF_UART1,0x2091035a,U1,-,-,0,Output rate of the UBXMONRF message on port UART1
CFG-MSGOUT-UBX_MON_RF_UART2,0x2091035b,U1,-,-,0,Output rate of the UBXMONRF message on port UART2
CFG-MSGOUT-UBX_MON_RF_USB,0x2091035c,U1,-,-,0,Output rate of the UBXMONRF message on port USB
CFG-MSGOUT-UBX_MON_RXBUF_I2C,0x209101a0,U1,-,-,0,Output rate of the UBXMON RXBUF message on port I2C
CFG-MSGOUT-UBX_MON_RXBUF_SPI,0x209101a4,U1,-,-,0,Output rate of the UBXMON RXBUF message on port SPI
CFG-MSGOUT-UBX_MON_RXBUF_UART1,0x209101a1,U1,-,-,0,Output rate of the UBXMON RXBUF message on port UART1
CFG-MSGOUT-UBX_MON_RXBUF_UART2,0x209101a2,U1,-,-,0,Output rate of the UBXMON RXBUF message on port UART2
CFG-MSGOUT-UBX_MON_RXBUF_USB,0x209101a3,U1,-,-,0,Output rate of the UBXMON RXBUF message on port USB
CFG-MSGOUT-UBX_MON_RXR_I2C,0x20910187,U1,-,-,0,Output rate of the UBXMON RXR message on port I2C
CFG-MSGOUT-UBX_MON_RXR_SPI,0x2091018b,U1,-,-,0,Output rate of the UBXMON RXR message on port SPI
CFG-MSGOUT-UBX_MON_RXR_UART1,0x20910188,U1,-,-,0,Output rate of the UBXMON RXR message on port UART1
CFG-MSGOUT-UBX_MON_RXR_UART2,0x20910189,U1,-,-,0,Output rate of the UBXMON RXR message on port UART2
CFG-MSGOUT-UBX_MON_RXR_USB,0x2091018a,U1,-,-,0,Output rate of the UBXMON RXR message on port USB
CFG-MSGOUT-UBX_MON_TXBUF_I2C,0x2091019b,U1,-,-,0,Output rate of the UBXMON TXBUF message on port I2C
CFG-MSGOUT-UBX_MON_TXBUF_SPI,0x2091019f,U1,-,-,0,Output rate of the UBXMON TXBUF message on port SPI
CFG-MSGOUT-UBX_MON_TXBUF_UART1,0x2091019c,U1,-,-,0,Output rate of the UBXMON TXBUF message on port UART1
CFG-MSGOUT-UBX_MON_TXBUF_UART2,0x2091019d,U1,-,-,0,Output rate of the UBXMON TXBUF message on port UART2
CFG-MSGOUT-UBX_MON_TXBUF_USB,0x2091019e,U1,-,-,0,Output rate of the UBXMON TXBUF message on port USB
CFG-MSGOUT-UBX_NAV_CLOCK_I2C,0x20910065,U1,-,-,0,Output rate of the UBXNAV CLOCK message on port I2C
CFG-MSGOUT-UBX_NAV_CLOCK_SPI,0x20910069,U1,-,-,0,Output rate of the UBXNAV CLOCK message on port SPI
CFG-MSGOUT-UBX_NAV_CLOCK_UART1,0x20910066,U1,-,-,0,Output rate of the UBXNAV CLOCK message on port UART1
CFG-MSGOUT-UBX_NAV_CLOCK_UART2,0x20910067,U1,-,-,0,Output rate of the UBXNAV CLOCK message on port UART2
CFG-MSGOUT-UBX_NAV_CLOCK_USB,0x20910068,U1,-,-,0,Output rate of the UBXNAV CLOCK message on port USB
CFG-MSGOUT-UBX_NAV_DOP_I2C,0x20910038,U1,-,-,0,Output rate of the UBXNAVDOP message on port I2C
CFG-MSGOUT-UBX_NAV_DOP_SPI,0x2091003c,U1,-,-,0,Output rate of the UBXNAVDOP message on port SPI
CFG-MSGOUT-UBX_NAV_DOP_UART1,0x20910039,U1,-,-,0,Output rate of the UBXNAVDOP message on port UART1
CFG-MSGOUT-UBX_NAV_DOP_UART2,0x2091003a,U1,-,-,0,Output rate of the UBXNAVDOP message on port UART2
CFG-MSGOUT-UBX_NAV_DOP_USB,0x2091003b,U1,-,-,0,Output rate of the UBXNAVDOP message on port USB
CFG-MSGOUT-UBX_NAV_EOE_I2C,0x2091015f,U1,-,-,0,Output rate of the UBXNAVEOE message on port I2C
CFG-MSGOUT-UBX_NAV_EOE_SPI,0x20910163,U1,-,-,0,Output rate of the UBXNAVEOE message on port SPI
CFG-MSGOUT-UBX_NAV_EOE_UART1,0x20910160,U1,-,-,0,Output rate of the UBXNAVEOE message on port UART1
CFG-MSGOUT-UBX_NAV_EOE_UART2,0x20910161,U1,-,-,0,Output rate of the UBXNAVEOE message on port UART2
CFG-MSGOUT-UBX_NAV_EOE_USB,0x20910162,U1,-,-,0,Output rate of the UBXNAVEOE message on port USB
CFG-MSGOUT-UBX_NAV_GEOFENCE_I2C,0x209100a1,U1,-,-,0,Output rate of the UBXNAV GEOFENCE message on port I2C
CFG-MSGOUT-UBX_NAV_GEOFENCE_SPI,0x209100a5,U1,-,-,0,Output rate of the UBXNAV GEOFENCE message on port SPI
CFG-MSGOUT-UBX_NAV_GEOFENCE_UART1,0x209100a2,U1,-,-,0,Output rate of the UBXNAV GEOFENCE message on port UART1
CFG-MSGOUT-UBX_NAV_GEOFENCE_UART2,0x209100a3,U1,-,-,0,Output rate of the UBXNAV GEOFENCE message on port UART2
CFG-MSGOUT-UBX_NAV_GEOFENCE_USB,0x209100a4,U1,-,-,0,Output rate of the UBXNAV GEOFENCE message on port USB
CFG-MSGOUT-UBX_NAV_ODO_I2C,0x2091007e,U1,-,-,0,Output rate of the UBXNAVODO message on port I2C
CFG-MSGOUT-UBX_NAV_ODO_SPI,0x20910082,U1,-,-,0,Output rate of the UBXNAVODO message on port SPI
CFG-MSGOUT-UBX_NAV_ODO_UART1,0x2091007f,U1,-,-,0,Output rate of the UBXNAVODO message on port UART1
CFG-MSGOUT-UBX_NAV_ODO_UART2,0x20910080,U1,-,-,0,Output rate of the UBXNAVODO message on port UART2
CFG-MSGOUT-UBX_NAV_ODO_USB,0x20910081,U1,-,-,0,Output rate of the UBXNAVODO message on port USB
CFG-MSGOUT-UBX_NAV_ORB_I2C,0x20910010,U1,-,-,0,Output rate of the UBXNAVORB message on port I2C
CFG-MSGOUT-UBX_NAV_ORB_SPI,0x20910014,U1,-,-,0,Output rate of the UBXNAVORB message on port SPI
CFG-MSGOUT-UBX_NAV_ORB_UART1,0x20910011,U1,-,-,0,Output rate of the UBXNAVORB message on port UART1
CFG-MSGOUT-UBX_NAV_ORB_UART2,0x20910012,U1,-,-,0,Output rate of the UBXNAVORB message on port UART2
CFG-MSGOUT-UBX_NAV_ORB_USB,0x20910013,U1,-,-,0,Output rate of the UBXNAVORB message on port USB
CFG-MSGOUT-UBX_NAV_POSECEF_I2C,0x20910024,U1,-,-,0,Output rate of the UBXNAV POSECEF message on port I2C
CFG-MSGOUT-UBX_NAV_POSECEF_SPI,0x20910028,U1,-,-,0,Output rate of the UBXNAV POSECEF message on port SPI
CFG-MSGOUT-UBX_NAV_POSECEF_UART1,0x20910025,U1,-,-,0,Output rate of the UBXNAV POSECEF message on port UART1
CFG-MSGOUT-UBX_NAV_POSECEF_UART2,0x20910026,U1,-,-,0,Output rate of the UBXNAV POSECEF message on port UART2
CFG-MSGOUT-UBX_NAV_POSECEF_USB,0x20910027,U1,-,-,0,Output rate of the UBXNAV POSECEF message on port USB
CFG-MSGOUT-UBX_NAV_POSLLH_I2C,0x20910029,U1,-,-,0,Output rate of the UBXNAV POSLLH message on port I2C
CFG-MSGOUT-UBX_NAV_POSLLH_SPI,0x2091002d,U1,-,-,0,Output rate of the UBXNAV POSLLH message on port SPI
CFG-MSGOUT-UBX_NAV_POSLLH_UART1,0x2091002a,U1,-,-,0,Output rate of the UBXNAV POSLLH message on port UART1
CFG-MSGOUT-UBX_NAV_POSLLH_UART2,0x2091002b,U1,-,-,0,Output rate of the UBXNAV POSLLH message on port UART2
CFG-MSGOUT-UBX_NAV_POSLLH_USB,0x2091002c,U1,-,-,0,Output rate of the UBXNAV POSLLH message on port USB
CFG-MSGOUT-UBX_NAV_PVT_I2C,0x20910006,U1,-,-,0,Output rate of the UBXNAVPVT message on port I2C
CFG-MSGOUT-UBX_NAV_PVT_SPI,0x2091000a,U1,-,-,0,Output rate of the UBXNAVPVT message on port SPI
CFG-MSGOUT-UBX_NAV_PVT_UART1,0x20910007,U1,-,-,0,Output rate of the UBXNAVPVT message on port UART1
CFG-MSGOUT-UBX_NAV_PVT_UART2,0x20910008,U1,-,-,0,Output rate of the UBXNAVPVT message on port UART2
CFG-MSGOUT-UBX_NAV_PVT_USB,0x20910009,U1,-,-,0,Output rate of the UBXNAVPVT message on port USB
CFG-MSGOUT-UBX_NAV_SAT_I2C,0x20910015,U1,-,-,0,Output rate of the UBXNAVSAT message on port I2C
CFG-MSGOUT-UBX_NAV_SAT_SPI,0x20910019,U1,-,-,0,Output rate of the UBXNAVSAT message on port SPI
CFG-MSGOUT-UBX_NAV_SAT_UART1,0x20910016,U1,-,-,0,Output rate of the UBXNAVSAT message on port UART1
CFG-MSGOUT-UBX_NAV_SAT_UART2,0x20910017,U1,-,-,0,Output rate of the UBXNAVSAT message on port UART2
CFG-MSGOUT-UBX_NAV_SAT_USB,0x20910018,U1,-,-,0,Output rate of the UBXNAVSAT message on port USB
CFG-MSGOUT-UBX_NAV_SBAS_I2C,0x2091006a,U1,-,-,0,Output rate of the UBXNAV SBAS message on port I2C
CFG-MSGOUT-UBX_NAV_SBAS_SPI,0x2091006e,U1,-,-,0,Output rate of the UBXNAV SBAS message on port SPI
CFG-MSGOUT-UBX_NAV_SBAS_UART1,0x2091006b,U1,-,-,0,Output rate of the UBXNAV SBAS message on port UART1
CFG-MSGOUT-UBX_NAV_SBAS_UART2,0x2091006c,U1,-,-,0,Output rate of the UBXNAV SBAS message on port UART2
CFG-MSGOUT-UBX_NAV_SBAS_USB,0x2091006d,U1,-,-,0,Output rate of the UBXNAV SBAS message on port USB
CFG-MSGOUT-UBX_NAV_SIG_I2C,0x20910345,U1,-,-,0,Output rate of the UBXNAVSIG message on port I2C
CFG-MSGOUT-UBX_NAV_SIG_SPI,0x20910349,U1,-,-,0,Output rate of the UBXNAVSIG message on port SPI
CFG-MSGOUT-UBX_NAV_SIG_UART1,0x20910346,U1,-,-,0,Output rate of the UBXNAVSIG message on port UART1
CFG-MSGOUT-UBX_NAV_SIG_UART2,0x20910347,U1,-,-,0,Output rate of the UBXNAVSIG message on port UART2
CFG-MSGOUT-UBX_NAV_SIG_USB,0x20910348,U1,-,-,0,Output rate of the UBXNAVSIG message on port USB
CFG-MSGOUT-UBX_NAV_STATUS_I2C,0x2091001a,U1,-,-,0,Output rate of the UBXNAV STATUS message on port I2C
CFG-MSGOUT-UBX_NAV_STATUS_SPI,0x2091001e,U1,-,-,0,Output rate of the UBXNAV STATUS message on port SPI
CFG-MSGOUT-UBX_NAV_STATUS_UART1,0x2091001b,U1,-,-,0,Output rate of the UBXNAV STATUS message on port UART1
CFG-MSGOUT-UBX_NAV_STATUS_UART2,0x2091001c,U1,-,-,0,Output rate of the UBXNAV STATUS message on port UART2
CFG-MSGOUT-UBX_NAV_STATUS_USB,0x2091001d,U1,-,-,0,Output rate of the UBXNAV STATUS message on port USB
CFG-MSGOUT-UBX_NAV_SVIN_I2C,0x20910088,U1,-,-,0,Output rate of the UBXNAV SVIN message on port I2C
CFG-MSGOUT-UBX_NAV_SVIN_SPI,0x2091008c,U1,-,-,0,Output rate of the UBXNAV SVIN message on port SPI
CFG-MSGOUT-UBX_NAV_SVIN_UART1,0x20910089,U1,-,-,0,Output rate of the UBXNAV SVIN message on port UART1
CFG-MSGOUT-UBX_NAV_SVIN_UART2,0x2091008a,U1,-,-,0,Output rate of the UBXNAV SVIN message on port UART2
CFG-MSGOUT-UBX_NAV_SVIN_USB,0x2091008b,U1,-,-,0,Output rate of the UBXNAV SVIN message on port USB
CFG-MSGOUT-UBX_NAV_TIMEBDS_I2C,0x20910051,U1,-,-,0,Output rate of the UBXNAV TIMEBDS message on port I2C
CFG-MSGOUT-UBX_NAV_TIMEBDS_SPI,0x20910055,U1,-,-,0,Output rate of the UBXNAV TIMEBDS message on port SPI
CFG-MSGOUT-UBX_NAV_TIMEBDS_UART1,0x20910052,U1,-,-,0,Output rate of the UBXNAV TIMEBDS message on port UART1
CFG-MSGOUT-UBX_NAV_TIMEBDS_UART2,0x20910053,U1,-,-,0,Output rate of the UBXNAV TIMEBDS message on port UART2
CFG-MSGOUT-UBX_NAV_TIMEBDS_USB,0x20910054,U1,-,-,0,Output rate of the UBXNAV TIMEBDS message on port USB
CFG-MSGOUT-UBX_NAV_TIMEGAL_I2C,0x20910056,U1,-,-,0,Output rate of the UBXNAV TIMEGAL message on port I2C
CFG-MSGOUT-UBX_NAV_TIMEGAL_SPI,0x2091005a,U1,-,-,0,Output rate of the UBXNAV TIMEGAL message on port SPI
CFG-MSGOUT-UBX_NAV_TIMEGAL_UART1,0x20910057,U1,-,-,0,Output rate of the UBXNAV TIMEGAL message on port UART1
CFG-MSGOUT-UBX_NAV_TIMEGAL_UART2,0x20910058,U1,-,-,0,Output rate of the UBXNAV TIMEGAL message on port UART2
CFG-MSGOUT-UBX_NAV_TIMEGAL_USB,0x20910059,U1,-,-,0,Output rate of the UBXNAV TIMEGAL message on port USB
CFG-MSGOUT-UBX_NAV_TIMEGLO_I2C,0x2091004c,U1,-,-,0,Output rate of the UBXNAV TIMEGLO message on port I2C
CFG-MSGOUT-UBX_NAV_TIMEGLO_SPI,0x20910050,U1,-,-,0,Output rate of the UBXNAV TIMEGLO message on port SPI
CFG-MSGOUT-UBX_NAV_TIMEGLO_UART1,0x2091004d,U1,-,-,0,Output rate of the UBXNAV TIMEGLO message on port UART1
CFG-MSGOUT-UBX_NAV_TIMEGLO_UART2,0x2091004e,U1,-,-,0,Output rate of the UBXNAV TIMEGLO message on port UART2
CFG-MSGOUT-UBX_NAV_TIMEGLO_USB,0x2091004f,U1,-,-,0,Output rate of the UBXNAV TIMEGLO message on port USB
CFG-MSGOUT-UBX_NAV_TIMEGPS_I2C,0x20910047,U1,-,-,0,Output rate of the UBXNAV TIMEGPS message on port I2C
CFG-MSGOUT-UBX_NAV_TIMEGPS_SPI,0x2091004b,U1,-,-,0,Output rate of the UBXNAV TIMEGPS message on port SPI
CFG-MSGOUT-UBX_NAV_TIMEGPS_UART1,0x20910048,U1,-,-,0,Output rate of the UBXNAV TIMEGPS message on port UART1
CFG-MSGOUT-UBX_NAV_TIMEGPS_UART2,0x20910049,U1,-,-,0,Output rate of the UBXNAV TIMEGPS message on port UART2
CFG-MSGOUT-UBX_NAV_TIMEGPS_USB,0x2091004a,U1,-,-,0,Output rate of the UBXNAV TIMEGPS message on port USB
CFG-MSGOUT-UBX_NAV_TIMELS_I2C,0x20910060,U1,-,-,0,Output rate of the UBXNAV TIMELS message on port I2C
CFG-MSGOUT-UBX_NAV_TIMELS_SPI,0x20910064,U1,-,-,0,Output rate of the UBXNAV TIMELS message on port SPI
CFG-MSGOUT-UBX_NAV_TIMELS_UART1,0x20910061,U1,-,-,0,Output rate of the UBXNAV TIMELS message on port UART1
CFG-MSGOUT-UBX_NAV_TIMELS_UART2,0x20910062,U1,-,-,0,Output rate of the UBXNAV TIMELS message on port UART2
CFG-MSGOUT-UBX_NAV_TIMELS_USB,0x20910063,U1,-,-,0,Output rate of the UBXNAV TIMELS message on port USB
CFG-MSGOUT-UBX_NAV_TIMEUTC_I2C,0x2091005b,U1,-,-,0,Output rate of the UBXNAV TIMEUTC message on port I2C
CFG-MSGOUT-UBX_NAV_TIMEUTC_SPI,0x2091005f,U1,-,-,0,Output rate of the UBXNAV TIMEUTC message on port SPI
CFG-MSGOUT-UBX_NAV_TIMEUTC_UART1,0x2091005c,U1,-,-,0,Output rate of the UBXNAV TIMEUTC message on port UART1
CFG-MSGOUT-UBX_NAV_TIMEUTC_UART2,0x2091005d,U1,-,-,0,Output rate of the UBXNAV TIMEUTC message on port UART2
CFG-MSGOUT-UBX_NAV_TIMEUTC_USB,0x2091005e,U1,-,-,0,Output rate of the UBXNAV TIMEUTC message on port USB
CFG-MSGOUT-UBX_NAV_VELECEF_I2C,0x2091003d,U1,-,-,0,Output rate of the UBXNAV VELECEF message on port I2C
CFG-MSGOUT-UBX_NAV_VELECEF_SPI,0x20910041,U1,-,-,0,Output rate of the UBXNAV VELECEF message on port SPI
CFG-MSGOUT-UBX_NAV_VELECEF_UART1,0x2091003e,U1,-,-,0,Output rate of the UBXNAV VELECEF message on port UART1
CFG-MSGOUT-UBX_NAV_VELECEF_UART2,0x2091003e,U1,-,-,0,Output rate of the UBXNAV VELECEF message on port UART2
CFG-MSGOUT-UBX_NAV_VELECEF_USB,0x20910040,U1,-,-,0,Output rate of the UBXNAV VELECEF message on port USB
CFG-MSGOUT-UBX_NAV_VELNED_I2C,0x20910042,U1,-,-,0,Output rate of the UBXNAV VELNED message on port I2C
CFG-MSGOUT-UBX_NAV_VELNED_SPI,0x20910046,U1,-,-,0,Output rate of the UBXNAV VELNED message on port SPI
CFG-MSGOUT-UBX_NAV_VELNED_UART1,0x20910043,U1,-,-,0,Output rate of the UBXNAV VELNED message on port UART1
CFG-MSGOUT-UBX_NAV_VELNED_UART2,0x20910044,U1,-,-,0,Output rate of the UBXNAV VELNED message on port UART2
CFG-MSGOUT-UBX_NAV_VELNED_USB,0x20910045,U1,-,-,0,Output rate of the UBXNAV VELNED message on port USB
CFG-MSGOUT-UBX_RXM_MEASX_I2C,0x20910204,U1,-,-,0,Output rate of the UBXRXM MEASX message on port I2C
CFG-MSGOUT-UBX_RXM_MEASX_SPI,0x20910208,U1,-,-,0,Output rate of the UBXRXM MEASX message on port SPI
CFG-MSGOUT-UBX_RXM_MEASX_UART1,0x20910205,U1,-,-,0,Output rate of the UBXRXM MEASX message on port UART1
CFG-MSGOUT-UBX_RXM_MEASX_UART2,0x20910206,U1,-,-,0,Output rate of the UBXRXM MEASX message on port UART2
CFG-MSGOUT-UBX_RXM_MEASX_USB,0x20910207,U1,-,-,0,Output rate of the UBXRXM MEASX message on port USB
CFG-MSGOUT-UBX_RXM_RAWX_I2C,0x209102a4,U1,-,-,0,Output rate of the UBXRXM RAWX message on port I2C
CFG-MSGOUT-UBX_RXM_RAWX_SPI,0x209102a8,U1,-,-,0,Output rate of the UBXRXM RAWX message on port SPI
CFG-MSGOUT-UBX_RXM_RAWX_UART1,0x209102a5,U1,-,-,0,Output rate of the UBXRXM RAWX message on port UART1
CFG-MSGOUT-UBX_RXM_RAWX_UART2,0x209102a6,U1,-,-,0,Output rate of the UBXRXM RAWX message on port UART2
CFG-MSGOUT-UBX_RXM_RAWX_USB,0x209102a7,U1,-,-,0,Output rate of the UBXRXM RAWX message on port USB
CFG-MSGOUT-UBX_RXM_RLM_I2C,0x2091025e,U1,-,-,0,Output rate of the UBXRXM RLM message on port I2C
CFG-MSGOUT-UBX_RXM_RLM_SPI,0x20910262,U1,-,-,0,Output rate of the UBXRXM RLM message on port SPI
CFG-MSGOUT-UBX_RXM_RLM_UART1,0x2091025f,U1,-,-,0,Output rate of the UBXRXM RLM message on port UART1
CFG-MSGOUT-UBX_RXM_RLM_UART2,0x20910260,U1,-,-,0,Output rate of the UBXRXM RLM message on port UART2
CFG-MSGOUT-UBX_RXM_RLM_USB,0x20910261,U1,-,-,0,Output rate of the UBXRXM RLM message on port USB
CFG-MSGOUT-UBX_RXM_RTCM_I2C,0x20910268,U1,-,-,0,Output rate of the UBXRXM RTCM message on port I2C
CFG-MSGOUT-UBX_RXM_RTCM_SPI,0x2091026c,U1,-,-,0,Output rate of the UBXRXM RTCM message on port SPI
CFG-MSGOUT-UBX_RXM_RTCM_UART1,0x20910269,U1,-,-,0,Output rate of the UBXRXM RTCM message on port UART1
CFG-MSGOUT-UBX_RXM_RTCM_UART2,0x2091026a,U1,-,-,0,Output rate of the UBXRXM RTCM message on port UART2
CFG-MSGOUT-UBX_RXM_RTCM_USB,0x2091026b,U1,-,-,0,Output rate of the UBXRXM RTCM message on port USB
CFG-MSGOUT-UBX_RXM_SFRBX_I2C,0x20910231,U1,-,-,0,Output rate of the UBXRXM SFRBX message on port I2C
CFG-MSGOUT-UBX_RXM_SFRBX_SPI,0x20910235,U1,-,-,0,Output rate of the UBXRXM SFRBX message on port SPI
CFG-MSGOUT-UBX_RXM_SFRBX_UART1,0x20910232,U1,-,-,0,Output rate of the UBXRXM SFRBX message on port UART1
CFG-MSGOUT-UBX_RXM_SFRBX_UART2,0x20910233,U1,-,-,0,Output rate of the UBXRXM SFRBX message on port UART2
CFG-MSGOUT-UBX_RXM_SFRBX_USB,0x20910234,U1,-,-,0,Output rate of the UBXRXM SFRBX message on port USB
CFG-MSGOUT-UBX_TIM_SVIN_I2C,0x20910097,U1,-,-,0,Output rate of the UBXTIMSVIN message on port I2C
CFG-MSGOUT-UBX_TIM_SVIN_SPI,0x2091009b,U1,-,-,0,Output rate of the UBXTIMSVIN message on port SPI
CFG-MSGOUT-UBX_TIM_SVIN_UART1,0x20910098,U1,-,-,0,Output rate of the UBXTIMSVIN message on port UART1
CFG-MSGOUT-UBX_TIM_SVIN_UART2,0x20910099,U1,-,-,0,Output rate of the UBXTIMSVIN message on port UART2
CFG-MSGOUT-UBX_TIM_SVIN_USB,0x2091009a,U1,-,-,0,Output rate of the UBXTIMSVIN message on port USB
CFG-MSGOUT-UBX_TIM_TM2_I2C,0x20910178,U1,-,-,0,Output rate of the UBXTIMTM2 message on port I2C
CFG-MSGOUT-UBX_TIM_TM2_SPI,0x2091017c,U1,-,-,0,Output rate of the UBXTIMTM2 message on port SPI
CFG-MSGOUT-UBX_TIM_TM2_UART1,0x20910179,U1,-,-,0,Output rate of the UBXTIMTM2 message on port UART1
CFG-MSGOUT-UBX_TIM_TM2_UART2,0x2091017a,U1,-,-,0,Output rate of the UBXTIMTM2 message on port UART2
CFG-MSGOUT-UBX_TIM_TM2_USB,0x2091017b,U1,-,-,0,Output rate of the UBXTIMTM2 message on port USB
CFG-MSGOUT-UBX_TIM_TP_I2C,0x2091017d,U1,-,-,0,Output rate of the UBXTIMTP message on port I2C
CFG-MSGOUT-UBX_TIM_TP_SPI,0x20910181,U1,-,-,0,Output rate of the UBXTIMTP message on port SPI
CFG-MSGOUT-UBX_TIM_TP_UART1,0x2091017e,U1,-,-,0,Output rate of the UBXTIMTP message on port UART1
CFG-MSGOUT-UBX_TIM_TP_UART2,0x2091017f,U1,-,-,0,Output rate of the UBXTIMTP message on port UART2
CFG-MSGOUT-UBX_TIM_TP_USB,0x20910180,U1,-,-,0,Output rate of the UBXTIMTP message on port USB
CFG-MSGOUT-UBX_TIM_VRFY_I2C,0x20910092,U1,-,-,0,Output rate of the UBXTIM VRFY message on port I2C
CFG-MSGOUT-UBX_TIM_VRFY_SPI,0x20910096,U1,-,-,0,Output rate of the UBXTIM VRFY message on port SPI
CFG-MSGOUT-UBX_TIM_VRFY_UART1,0x20910093,U1,-,-,0,Output rate of the UBXTIM VRFY message on port UART1
CFG-MSGOUT-UBX_TIM_VRFY_UART2,0x20910094,U1,-,-,0,Output rate of the UBXTIM VRFY message on port UART2
CFG-MSGOUT-UBX_TIM_VRFY_USB,0x20910095,U1,-,-,0,Output rate of the UBXTIM VRFY message on port USB
CFG-NAVSPG-FIXMODE,0x20110011,E1,-,-,3,Position fix mode See Constants for CFGNAVSPGFIXMODE below for a list of possible constants for this item.
CFG-NAVSPG-INIFIX3D,0x10110013,L,-,-,0,Initial fix must be a 3d fix
CFG-NAVSPG-WKNROLLOVER,0x30110017,U2,-,-,2014,GPS week rollover number GPS week numbers will be set correctly from this week up to 1024 weeks after this week. Range is from 1 to 4096.
CFG-NAVSPG-USE_PPP,0x10110019,L,-,-,1,Use Precise Point Positioning Only available with the PPP product variant.
CFG-NAVSPG-UTCSTANDARD,0x2011001c,E1,-,-,0,UTC standard to be used See also GNSS time bases.
CFG-NAVSPG-DYNMODEL,0x20110021,E1,-,-,2,Dynamic platform model See Constants for CFG-NAVSPG-DYNMODEL below for a list of possible constants for this item.
CFG-NAVSPG-ACKAIDING,0x10110025,L,-,-,0,Acknowledge assistance input messages
CFG-NAVSPG-USE_USRDAT,0x10110061,L,-,-,0,Use user geodetic datum parameters This must be set together with all CFG-NAVSPG-USERDAT_* parameters.
CFG-NAVSPG-USRDAT_MAJA,0x50110062,R8,-,m,6378137,Geodetic datum semi-major axis
CFG-NAVSPG-USRDAT_FLAT,0x50110063,R8,-,-,298.2572236,Geodetic datum 1.0 / flattening Accepted range is 0.0 to 500.0. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_DX,0x40110064,R4,-,m,0,Geodetic datum X axis shift at the origin Accepted range is +/- 5000.0 meters. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_DY,0x40110065,R4,-,m,0,Geodetic datum Y axis shift at the origin Accepted range is +/- 5000.0 meters. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_DZ,0x40110066,R4,-,m,0,Geodetic datum Z axis shift at the origin Accepted range is +/- 5000.0 meters. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_ROTX,0x40110067,R4,-,arcsec,0,c Geodetic datum rotation about the X axis Accepted range is +/- 20.0 milli arc seconds. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_ROTY,0x40110068,R4,-,arcsec,0,c Geodetic datum rotation about the Y axis () Accepted range is +/- 20.0 milli-arc seconds. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_ROTZ,0x40110069,R4,-,arcsec,0,c Geodetic datum rotation about the Z axis Accepted range is +/- 20.0 milli-arc seconds. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-USRDAT_SCALE,0x4011006a,R4,-,ppm,0,ppm Geodetic datum scale factor Accepted range is 0.0 to 50.0 parts per million. This will only be used if CFG-NAVSPG-USE_USERDAT is set. It must be set together with all other
CFG-NAVSPG-INFIL_MINSVS,0x201100a1,U1,-,-,1,Minimum number of satellites for navigation
CFG-NAVSPG-INFIL_MAXSVS,0x201100a2,U1,-,-,32,Maximum number of satellites for navigation
CFG-NAVSPG-INFIL_MINCNO,0x201100a3,U1,-,dBHz,9,Minimum satellite signal level for navigation
CFG-NAVSPG-INFIL_MINELEV,0x201100a4,I1,-,deg,5,Minimum elevation for a GNSS satellite to be used in navigation
CFG-NAVSPG-INFIL_NCNOTHRS,0x201100aa,U1,-,-,0,Number of satellites required to have C/N0 above CFG-NAVSPG- INFIL_CNOTHRS for a fix to be attempted
CFG-NAVSPG-INFIL_CNOTHRS,0x201100ab,U1,-,-,0,C/N0 threshold for deciding whether to attempt a fix
CFG-NAVSPG-OUTFIL_PDOP,0x301100b1,U2,0.1,-,250,Output filter position DOP mask (threshold)
CFG-NAVSPG-OUTFIL_TDOP,0x301100b2,U2,0.1,-,250,Output filter time DOP mask (threshold)
CFG-NAVSPG-OUTFIL_PACC,0x301100b3,U2,-,m,100,Output filter position accuracy mask (threshold)
CFG-NAVSPG-OUTFIL_TACC,0x301100b4,U2,-,m,350,Output filter time accuracy mask (threshold)
CFG-NAVSPG-OUTFIL_FACC,0x301100b5,U2,0.01,m/s,150,Output filter frequency accuracy mask (threshold)
CFG-NAVSPG-CONSTR_ALT,0x401100c1,I4,0.01,m,0,Fixed altitude (mean sea level) for 2D fix mode
